Guest_A;Guest_B
Katelyn Williams;Angela Benton
Dawn Pineda;Andrew Barnes
Jeffery White;Cindy Davila
Sean Martinez;Anthony DDS
Shannon Rubio;Anne MD
Karen Johnson;Dawn Pineda
Brian Gomez;Frank Bailey
Fernando Melton;Jeffery White
Jason Gill;David Miles
Casey Giles;Brittney Williams
Makayla Chavez;Emily White
Jaime Fisher;Shelly Burnett
Karen Parker;Kenneth King
Sydney Patterson;Nathaniel Nguyen
Aaron Ballard MD;Robert Yang
Joanna Roman;Emily Barnes
Karen Perry;Michael PhD
Candice Perry;James Newman
Jonathon Williams;Dennis Coffey
Marcus Carey;Holly Parker
Michael Williams;Anthony Ross
Michael Foley;Wesley Evans
Ashley Kennedy;Candice Perry
Jessica Kelley;Anthony Stevenson
Kelly Wright;Aaron Perry
Jason Williamson;Melanie Cox
William Reyes;Breanna Hernandez
Terry Carey;Candice Perry
Cynthia Hawkins;Jonathan Sanchez
Makayla Chavez;Joanna Brown
Anthony DDS;Destiny Fisher
Brian Gomez;Anne Mckinney
James Graham;Jason Gill
Patrick Wright;Anthony DDS
Jonathan Meyers;Joanna Roman
Timothy Kelley;Chris Alvarez
Glenn Bailey;Candice Durham
Meghan Jackson;Ms. Kristina Edwards MD
Deanna Ruiz;Catherine Holden
Kenneth Melton;Richard Allen
Zachary Anderson;Erica Hines
Wesley Thomas;Jacqueline Bailey
Natalie Carlson;Robert Snyder
Emily White;Christopher Cox
Wesley Thomas;Jason Gill
Michael Parker;Karen Perry
Wesley Burnett;Jacqueline Choi
Joe Rios;Cindy Davila
Robert Martin MD;Jacqueline Mathews
Shannon Rubio;Brianna Osborn
Wesley Petersen;Anthony Davis
James Lee;Thomas Gonzalez
Jamie Raymond;Gregory Harrison
Luis Hines;Sarah Mason
Angela Benton;Andrew Barnes
Kristen Brown;Mary Newman
Mrs. Melanie Evans;Anthony Davis
Brianna Osborn;Fernando Melton
Dawn Carr;Robert Martin MD
Edward Rich;Shawn Williams
Stephen Wells;Stephanie Farmer MD
Casey Thomas;Michele Alexander
Brandy Bolton;Denise Nelson
Karen Franco;Shawn Williams
Zachary Hawkins;Chris Alvarez
Casey Giles;Lee Fisher
Austin Tucker;Luis Hines
Terry Monroe;Michael Williams
Makayla Chavez;Kevin Mathews
Melanie Howard;Heather Mack
Ms. Kristina Edwards MD;Brenda King
Denise Walker;Robert Bailey
Edward Rich;Kimberly Nelson
Olivia Leonard;Jonathon Williams
Austin Spears;Casey Gordon
Karen Brown;Michael Bauer
Stephen Massey;Anthony Stevenson
Robert Yang;Pamela Fleming
Jonathan Meyers;Jason Mason
Sarah Mason;Kelly Wright
Katelyn Perry;Kimberly Sosa
